Week,Day,Exercise,Target,Set1_Weight,Set1_Reps,Set2_Weight,Set2_Reps,Set3_Weight,Set3_Reps,Set4_Weight,Set4_Reps,Notes
"Week 2 - Middle",Day 2,"DB Shoulder Press","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 2,"Hip Thrusts","4x10-14",,,,,,,,,
"Week 2 - Middle",Day 2,"Rope Pushdowns","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 2,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 2,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 2,"Cable Reverse Crunch","2-3x12-15",,,,,,,,,
"Week 2 - Middle",Day 3,"Cable Flies","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 3,"Weighted Step Ups","4x10-14/leg",,,,,,,,,
"Week 2 - Middle",Day 3,"Hammer Curl","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 3,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 3,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 3,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
"Week 2 - Middle",Day 4,"DB Lateral Raise","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 4,"Leg Extensions","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 4,"Cable Overhead Extension","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 4,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 4,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 4,"Cable Reverse Crunch","2-3x12-15",,,,,,,,,
"Week 2 - Middle",Day 5,"Face Pulls","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 5,"Lying Leg Curl","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 5,"Standing Calf Raise","3x10-14",,,,,,,,,
"Week 2 - Middle",Day 5,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 5,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 2 - Middle",Day 5,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
"Week 3 - Heavy",Day 1,"Incline DB Press","4x4-6",,,,,,,,,
"Week 3 - Heavy",Day 1,"Pull-ups","4x4-6",,,,,,,,,
"Week 3 - Heavy",Day 1,"Leg Press","4x4-6",,,,,,,,,
"Week 3 - Heavy",Day 1,"Cable Curl","3x6-8",,,,,,,,,
"Week 3 - Heavy",Day 1,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 1,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 1,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
"Week 3 - Heavy",Day 2,"Cable Row","4x4-6",,,,,,,,,
"Week 3 - Heavy",Day 2,"DB Shoulder Press","4x4-6",,,,,,,,,
"Week 3 - Heavy",Day 2,"Hip Thrusts","4x4-6",,,,,,,,,
"Week 3 - Heavy",Day 2,"Rope Pushdowns","3x6-8",,,,,,,,,
"Week 3 - Heavy",Day 2,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 2,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 2,"Cable Reverse Crunch","2-3x12-15",,,,,,,,,
"Week 3 - Heavy",Day 3,"Cable Flies","3x6-8",,,,,,,,,
"Week 3 - Heavy",Day 3,"Weighted Step Ups","4x4-6/leg",,,,,,,,,
"Week 3 - Heavy",Day 3,"Hammer Curl","3x6-8",,,,,,,,,
"Week 3 - Heavy",Day 3,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 3,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 3,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
"Week 3 - Heavy",Day 4,"DB Lateral Raise","3x8-10",,,,,,,,,
"Week 3 - Heavy",Day 4,"Leg Extensions","3x6-8",,,,,,,,,
"Week 3 - Heavy",Day 4,"Cable Overhead Extension","3x6-8",,,,,,,,,
"Week 3 - Heavy",Day 4,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 4,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 4,"Cable Reverse Crunch","2-3x12-15",,,,,,,,,
"Week 3 - Heavy",Day 5,"Face Pulls","3x8-10",,,,,,,,,
"Week 3 - Heavy",Day 5,"Lying Leg Curl","3x6-8",,,,,,,,,
"Week 3 - Heavy",Day 5,"Standing Calf Raise","4x6-8",,,,,,,,,
"Week 3 - Heavy",Day 5,"Hip Adductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 5,"Hip Abductor Machine","2x15-20",,,,,,,,,
"Week 3 - Heavy",Day 5,"Hanging Leg Raise","2-3x10-15",,,,,,,,,
